dataset,n,d,method,k_selected,knn_K,knn_overlap,trustworthiness,k_pai_scale
wine,178,13,nrs,7,50,0.7668539325842697,0.9312710331597698,2.449438202247191
wine,178,13,nrs,8,3,0.21910112359550563,0.92225758264597,2.449438202247191
wine,178,13,nrs,8,5,0.30561797752808995,0.9230072703238599,2.449438202247191
wine,178,13,nrs,8,10,0.4252808988764045,0.9213033707865168,2.449438202247191
wine,178,13,nrs,8,20,0.5735955056179776,0.928876404494382,2.449438202247191
wine,178,13,nrs,8,30,0.6683520599250936,0.9338873577839022,2.449438202247191
wine,178,13,nrs,8,50,0.7913483146067416,0.9407245820772815,2.449438202247191
wine,178,13,nrs,9,3,0.3258426966292135,0.9618323915914355,2.449438202247191
wine,178,13,nrs,9,5,0.41123595505617977,0.9590416391275611,2.449438202247191
wine,178,13,nrs,9,10,0.5382022471910112,0.9575315471045808,2.449438202247191
wine,178,13,nrs,9,20,0.6643258426966292,0.9599790516092173,2.449438202247191
wine,178,13,nrs,9,30,0.7357677902621721,0.9626556427107625,2.449438202247191
wine,178,13,nrs,9,50,0.8355056179775279,0.9651082488352973,2.449438202247191
wine,178,13,nrs,10,3,0.3782771535580524,0.9700699270420645,2.449438202247191
wine,178,13,nrs,10,5,0.4730337078651686,0.9660541969596828,2.449438202247191
wine,178,13,nrs,10,10,0.5904494382022472,0.9653690579083838,2.449438202247191
wine,178,13,nrs,10,20,0.6988764044943819,0.9665720815082841,2.449438202247191
wine,178,13,nrs,10,30,0.7724719101123596,0.9710932089604974,2.449438202247191
wine,178,13,nrs,10,50,0.8630337078651685,0.9742833653055631,2.449438202247191
wine,178,13,nrs,11,3,0.4868913857677903,0.9790868350977463,2.449438202247191
wine,178,13,nrs,11,5,0.5528089887640449,0.9753668208856576,2.449438202247191
wine,178,13,nrs,11,10,0.6775280898876405,0.9778565254969749,2.449438202247191
wine,178,13,nrs,11,20,0.7786516853932586,0.9788021329270615,2.449438202247191
wine,178,13,nrs,11,30,0.8290262172284644,0.9800975196099215,2.449438202247191
wine,178,13,nrs,11,50,0.8948314606741573,0.9817265004110716,2.449438202247191
wine,178,13,nrs,12,3,0.6891385767790262,0.9927258556861727,2.449438202247191
wine,178,13,nrs,12,5,0.7370786516853932,0.9913747521480503,2.449438202247191
wine,178,13,nrs,12,10,0.8033707865168539,0.9897286084701815,2.449438202247191
wine,178,13,nrs,12,20,0.8662921348314606,0.9915844601028375,2.449438202247191
wine,178,13,nrs,12,30,0.8962546816479402,0.9921320048053142,2.449438202247191
wine,178,13,nrs,12,50,0.9342696629213484,0.992465881063305,2.449438202247191
wine,178,13,nrs,13,3,1.0,1.0,2.449438202247191
wine,178,13,nrs,13,5,1.0,1.0,2.449438202247191
wine,178,13,nrs,13,10,1.0,1.0,2.449438202247191
wine,178,13,nrs,13,20,1.0,1.0,2.449438202247191
wine,178,13,nrs,13,30,1.0,1.0,2.449438202247191
wine,178,13,nrs,13,50,1.0,1.0,2.449438202247191
wine,178,13,relieff,1,3,0.05992509363295879,0.681658764694421,2.449438202247191
wine,178,13,relieff,1,5,0.08202247191011236,0.7007402511566424,2.449438202247191
wine,178,13,relieff,1,10,0.150561797752809,0.7184373379429558,2.449438202247191
wine,178,13,relieff,1,20,0.25,0.7352732812797562,2.449438202247191
wine,178,13,relieff,1,30,0.3556179775280899,0.7519185923256307,2.449438202247191
wine,178,13,relieff,1,50,0.5062921348314607,0.7744762948753083,2.449438202247191
wine,178,13,relieff,2,3,0.06554307116104868,0.7782468446234114,2.449438202247191
wine,178,13,relieff,2,5,0.1146067415730337,0.7952808988764045,2.449438202247191
wine,178,13,relieff,2,10,0.21629213483146068,0.8023370786516854,2.449438202247191
wine,178,13,relieff,2,20,0.35842696629213483,0.815328508855456,2.449438202247191
wine,178,13,relieff,2,30,0.46235955056179784,0.8305490778036888,2.449438202247191
wine,178,13,relieff,2,50,0.601685393258427,0.8474946560701562,2.449438202247191
wine,178,13,relieff,3,3,0.11610486891385767,0.8389080123833648,2.449438202247191
wine,178,13,relieff,3,5,0.15617977528089888,0.840039656311963,2.449438202247191
wine,178,13,relieff,3,10,0.2533707865168539,0.8490924805531547,2.449438202247191
wine,178,13,relieff,3,20,0.41123595505617977,0.8618777375737955,2.449438202247191
wine,178,13,relieff,3,30,0.5312734082397004,0.8744272489576709,2.449438202247191
wine,178,13,relieff,3,50,0.6950561797752809,0.8871087969306659,2.449438202247191
wine,178,13,relieff,4,3,0.1254681647940075,0.8382585352124873,2.449438202247191
wine,178,13,relieff,4,5,0.15280898876404495,0.8441440846001322,2.449438202247191
wine,178,13,relieff,4,10,0.26853932584269663,0.8472497839239412,2.449438202247191
wine,178,13,relieff,4,20,0.43061797752808995,0.8701523519329651,2.449438202247191
wine,178,13,relieff,4,30,0.5417602996254682,0.880309518761925,2.449438202247191
wine,178,13,relieff,4,50,0.6967415730337079,0.8896673061112633,2.449438202247191
wine,178,13,relieff,5,3,0.1348314606741573,0.8677880972483817,2.449438202247191
wine,178,13,relieff,5,5,0.2,0.8684269662921349,2.449438202247191
wine,178,13,relieff,5,10,0.3039325842696629,0.8724874675885912,2.449438202247191
wine,178,13,relieff,5,20,0.4679775280898877,0.8909160159969529,2.449438202247191
wine,178,13,relieff,5,30,0.5803370786516855,0.9021595646950745,2.449438202247191
wine,178,13,relieff,5,50,0.7276404494382022,0.9117851466155111,2.449438202247191
wine,178,13,relieff,6,3,0.1797752808988764,0.8878136433504362,2.449438202247191
wine,178,13,relieff,6,5,0.23258426966292137,0.8896166556510244,2.449438202247191
wine,178,13,relieff,6,10,0.3539325842696629,0.8855177182368194,2.449438202247191
wine,178,13,relieff,6,20,0.49747191011235964,0.9024414397257665,2.449438202247191
wine,178,13,relieff,6,30,0.6088014981273407,0.9129927213624479,2.449438202247191
wine,178,13,relieff,6,50,0.7487640449438202,0.9152271855302823,2.449438202247191
wine,178,13,relieff,7,3,0.2041198501872659,0.9056417916910221,2.449438202247191
wine,178,13,relieff,7,5,0.2741573033707865,0.9041110376734963,2.449438202247191
wine,178,13,relieff,7,10,0.3882022471910112,0.9053863439930856,2.449438202247191
wine,178,13,relieff,7,20,0.5379213483146067,0.9130203770710341,2.449438202247191
wine,178,13,relieff,7,30,0.6348314606741573,0.9188410713023815,2.449438202247191
wine,178,13,relieff,7,50,0.7722471910112358,0.9252047136201699,2.449438202247191
wine,178,13,relieff,8,3,0.26029962546816476,0.9353553722586652,2.449438202247191
wine,178,13,relieff,8,5,0.3460674157303371,0.9365300727032386,2.449438202247191
wine,178,13,relieff,8,10,0.46011235955056184,0.9342610198789973,2.449438202247191
wine,178,13,relieff,8,20,0.5985955056179775,0.9367225290420872,2.449438202247191
wine,178,13,relieff,8,30,0.6812734082397004,0.9387393117094198,2.449438202247191
wine,178,13,relieff,8,50,0.7924719101123595,0.9359440942724034,2.449438202247191
wine,178,13,relieff,9,3,0.3389513108614232,0.9545690718971228,2.449438202247191
wine,178,13,relieff,9,5,0.3910112359550562,0.9517118307997356,2.449438202247191
wine,178,13,relieff,9,10,0.5202247191011236,0.9482765773552291,2.449438202247191
wine,178,13,relieff,9,20,0.6561797752808989,0.9479108741192154,2.449438202247191
wine,178,13,relieff,9,30,0.7234082397003745,0.9462016818599392,2.449438202247191
