dataset,n,d,n_resample,seed,method,attribute_j,importance_score,pai_bound,n_pts_dgm_H0,n_pts_dgm_H1,thresh,maxdim,time_method_sec
wine,178,13,142,0,variance,11,1.0185029438545867,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,0,variance,12,1.071151973965399,-1.0,-1,-1,2.0,1,1.629200000063946e-05
wine,178,13,142,1,pai,0,0.6813144683837891,8.25156996635623,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,1,0.7565755248069763,9.08435103343124,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,2,0.7532930970191956,11.404663643083245,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,3,0.7164977788925171,11.65105770081952,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,4,0.7733102440834045,12.919254675572796,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,5,0.6853256225585938,8.908963408472655,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,6,0.6612496972084045,6.947449718575879,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,7,0.728350818157196,8.541274427390503,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,8,0.7767016291618347,11.073171702898161,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,9,0.7000954151153564,10.13944040062521,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,10,0.7189328670501709,8.511437108470803,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,11,0.7332409024238586,7.485946921343073,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,pai,12,0.7196547389030457,8.929320443051298,142,16,2.0,1,2.1088190420000004
wine,178,13,142,1,nrs,0,0.06338028169014076,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,1,0.014084507042253502,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,2,-0.014084507042253613,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,3,0.007042253521126751,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,4,-0.03521126760563387,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,5,-0.014084507042253613,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,6,0.007042253521126751,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,7,-0.03521126760563387,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,8,0.0,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,9,0.021126760563380254,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,10,-0.014084507042253613,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,11,0.007042253521126751,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,nrs,12,0.09154929577464788,-1.0,-1,-1,2.0,1,0.009038250000001469
wine,178,13,142,1,relieff,0,0.14501665682719073,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,1,0.07505427823860152,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,2,0.04272526182737449,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,3,0.05682989690721647,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,4,0.03875918554807105,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,5,0.12595374404701598,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,6,0.2440690385085076,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,7,0.07409646558596862,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,8,0.059472499554287725,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,9,0.1373810268350719,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,10,0.14632859009728474,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,11,0.23559261227743813,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,relieff,12,0.15841780354021412,-1.0,-1,-1,2.0,1,0.040493958000000774
wine,178,13,142,1,mutual_info,0,0.5496269494534722,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,1,0.24447164114519881,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,2,0.05923179280911084,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,3,0.2259372716369772,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,4,0.21564674088168134,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,5,0.355112080666782,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,6,0.6699690477792766,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,7,0.19708598395126864,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,8,0.2501136869819547,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,9,0.637406986778271,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,10,0.44715455918684754,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,11,0.578414024156565,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,mutual_info,12,0.5370023484678177,-1.0,-1,-1,2.0,1,0.009635125000000855
wine,178,13,142,1,variance,0,1.022549364732198,-1.0,-1,-1,2.0,1,1.7041999999634072e-05
